#{"t_start": 1775315181.1701603, "env_id": null}
r,l,t
-16.789845,41,9.944641
-20.743107,43,15.824637
-6.982947,47,21.500206
4.554137,49,27.469033
-16.516081,41,33.303708
-11.276853,81,42.588842
-17.399971,51,48.925454
-18.305361,77,56.199164
-18.078814,61,63.856738
-4.980308,23,75.628498
-0.711187,41,81.702394
1.966063,61,89.883733
-18.74896,61,96.993865
-14.564268,41,102.597347
-11.339141,41,108.510858
-12.93118,61,115.863223
-2.489931,61,123.126346
-3.809627,47,128.624054
-6.735276,55,134.304762
-3.277614,41,139.651523
-10.0,1,152.023332
-16.756369,81,160.712602
8.225634,41,165.767149
-2.953469,41,171.361166
-0.851268,61,178.445915
-1.629888,41,184.988446
-7.083981,41,190.946563
-3.506233,41,196.876196
-11.155303,41,202.496693
2.041429,45,207.853155
-1.598718,41,212.97283
-6.761411,39,228.043382
-3.342078,41,233.736046
0.099423,41,240.114875
0.36106,61,247.528597
-18.512461,41,253.010775
-7.323157,61,260.528281
-1.021773,41,265.896262
-9.409331,41,272.471913
4.563757,61,279.278652
-13.695786,97,288.635945
-2.758921,27,300.998618
-1.749726,41,306.480491
-8.970344,41,313.085226
-10.442784,61,321.478221
4.860935,61,329.47892
-21.115526,81,338.531974
-11.763018,41,345.131571
-14.623966,41,351.707714
-7.338408,41,357.032293
-7.053923,41,362.953862
-11.564386,41,370.779388
1.3895,21,384.528067
-13.768919,61,392.671499
-9.951537,37,397.326615
-7.989729,41,403.55344
-0.985384,59,411.409104
-9.092995,43,417.021929
-9.034419,41,422.678816
-13.795771,61,431.23512
-13.522491,61,438.771524
-9.750829,81,449.627606
-3.307223,21,455.49261
-8.80227,7,467.099468
-4.242584,101,478.494469
-2.576016,41,483.809316
-0.486446,41,490.105912
-13.235127,41,497.289226
-5.478356,41,502.519815
6.419806,61,510.72817
1.521082,61,516.471607
1.550713,57,522.130938
-12.198274,67,539.805538
-0.758024,41,545.739664
-5.482624,45,551.421763
0.415424,41,557.993142
-2.961348,53,563.072846
-2.283331,41,568.568364
-26.493181,61,576.686286
-1.877074,61,583.584546
-6.057092,61,589.860289
-9.252229,41,595.867389
-5.318563,41,601.514252
-3.432061,27,612.917776
1.533914,51,618.167471
-3.360634,41,623.924039
1.461937,81,632.917177
-3.421748,53,639.088641
-24.605273,81,646.259124
-10.774132,41,652.053863
-16.38079,61,658.900424
-17.094293,61,666.541695
-8.707797,41,683.265416
-10.796899,81,692.581494
-11.665664,41,699.649434
5.761196,49,705.272213
-5.792443,61,712.816761
6.757798,41,719.345557
-10.246078,41,725.694338
-8.682712,61,732.558372
-4.313978,81,742.425606
-0.807702,57,757.845317
-15.071645,61,765.695803
-1.412016,61,774.499068
15.390835,49,779.605837
-5.596311,61,787.436023
-16.447293,51,793.693889
-8.818021,61,801.219785
-20.933448,81,810.511873
-3.193457,41,816.708006
1.441188,45,832.562215
-7.722975,41,839.014993
-14.166802,61,846.239314
-6.298032,41,852.310602
-7.883627,61,860.148894
-4.481947,55,865.932582
-1.859133,41,872.488085
-8.464058,21,878.325479
-0.14151,21,884.185958
-4.480591,27,889.415411
-15.771805,61,900.632284
9.387319,61,909.918765
-7.432661,21,931.518877
-5.331305,41,940.164424
-7.212185,41,949.734958
-2.813302,41,958.78127
-11.939311,89,967.784246
-9.449403,41,975.325086
-3.45747,61,983.225811
-4.379723,27,988.777493
-11.891068,39,998.123052
-2.497484,21,1003.756337
-7.223897,39,1011.871198
3.960845,61,1021.35469
-9.575201,11,1037.808987
-4.64622,21,1043.463727
-13.788173,41,1053.28926
-3.332673,21,1060.302733
0.508349,61,1068.564737
-9.007571,41,1075.969786
-17.663569,41,1084.854043
-11.244944,41,1093.086865
3.530801,41,1099.92021
-12.401486,29,1106.33041
-10.732204,41,1114.849021
-14.256075,73,1125.066062
-0.937435,21,1130.838445
