#{"t_start": 1775318454.5790184, "env_id": null}
r,l,t
-30.322537,21,9.171408
3.442576,31,14.574767
-4.247281,21,19.896922
-7.147056,41,26.347201
-12.63961,41,33.211391
-4.958733,41,39.510584
2.13501,41,46.836122
-7.44159,41,53.539137
-10.694751,61,62.340839
-2.800999,61,70.726779
7.384826,21,75.869043
8.04618,41,81.165378
-3.976173,21,86.581595
1.166411,21,92.350044
-21.130892,21,105.947102
1.937921,21,111.255799
2.671011,29,116.231249
9.102635,41,123.251557
-19.360578,41,129.16827
-24.087843,61,137.865187
4.747159,37,143.017628
-24.038385,61,150.532923
-7.651817,21,155.945073
6.295671,81,164.186655
23.032469,81,174.548043
-11.003036,27,187.239649
4.55909,61,195.988481
-12.325039,41,200.787737
0.720911,21,205.806868
-22.197779,41,211.256878
-6.995927,39,217.998572
-16.209604,41,224.375086
-5.368047,41,230.268145
-0.396275,41,237.74228
-23.416727,49,244.190418
-21.76855,65,252.636168
-5.128456,61,258.920862
4.727939,21,271.539513
-1.769689,21,276.509741
-3.224728,41,283.189997
-10.497523,61,291.895379
-5.201426,41,296.898859
-1.32688,61,305.833689
12.404094,41,312.632848
-12.590252,61,319.579904
-0.480126,21,324.663387
3.291829,35,329.263721
-0.44389,29,334.612634
-3.380574,27,339.414298
-18.740405,63,354.716897
-33.875882,69,363.534685
-2.973412,21,368.40661
-9.317598,85,377.378849
-0.973537,41,381.873717
-2.142108,21,386.64157
19.536722,61,393.813298
-6.654306,73,401.799587
-12.018804,41,408.552835
-7.031307,55,414.802035
17.071303,45,429.010604
-10.771318,41,435.28745
-10.286653,61,443.198874
-1.514699,21,448.497482
11.389748,45,455.499784
-2.440891,31,460.605003
-20.641297,61,466.793931
-2.331856,41,473.435456
4.947604,61,480.628136
-2.584896,41,485.351745
-16.535167,41,491.058099
1.248327,41,497.793883
1.429548,27,513.141706
-1.407289,41,520.06199
-9.621068,81,528.428436
-21.424505,41,535.390004
-13.965616,41,541.56511
-11.38942,61,549.400837
-14.991066,61,557.227608
-40.719221,81,567.908206
5.346448,61,574.773725
6.420745,41,582.226762
-34.345778,21,596.165358
-13.624278,39,603.225302
-9.639488,59,610.261756
-4.898591,21,615.398778
-1.708529,61,623.543689
-13.770649,41,630.506176
13.32157,41,637.208071
-5.734818,41,643.59014
0.666906,21,649.183235
-8.95827,47,657.109839
-19.858635,21,663.798932
-4.57549,21,669.302073
26.528506,41,677.098394
-7.42769,21,683.733094
-12.623,21,701.969762
-3.273967,21,709.43604
-15.101115,21,716.904527
-11.71905,21,723.768846
-18.512639,35,729.623726
-1.138509,37,734.50882
-15.359179,21,741.413397
-14.492339,21,750.222856
-23.39913,43,757.810262
-8.970429,21,764.674275
-11.389382,21,771.221283
-17.833449,41,778.618705
-2.879054,21,784.139905
-5.904777,21,791.126972
-18.399851,21,798.865884
-19.191546,21,805.786158
-10.01364,21,812.454039
-19.749878,21,819.034983
-29.752654,61,830.070511
-11.854862,21,843.198425
-24.591408,85,855.167962
-8.921261,21,861.486876
-11.000271,21,869.239718
-12.875078,27,875.172684
-8.635894,41,883.290277
-8.74105,21,888.860735
-15.084691,21,895.733259
-7.925198,21,903.765078
-12.902286,21,911.462497
-8.158445,41,920.098916
-19.696901,21,926.660394
3.7508,31,931.478674
-15.013803,21,938.785971
-15.612362,21,945.671515
-13.122196,31,950.058011
-8.867841,35,954.987632
-2.610405,21,960.578283
-30.262746,21,982.031351
-12.208813,21,989.315433
13.405479,81,1000.421168
-6.578122,21,1007.219572
-15.103665,61,1015.680528
-6.543864,21,1022.65432
-3.449493,21,1027.738202
-7.317342,41,1034.284129
-34.296245,41,1042.158926
-19.692786,41,1051.028114
-10.780727,21,1057.53457
-32.053553,37,1064.559236
-12.623414,21,1071.006165
-11.354358,21,1077.380409
9.086151,41,1086.011969
-8.332659,21,1110.760793
-8.190485,21,1117.382555
-5.517242,41,1124.281772
-16.289458,41,1132.566792
-9.038778,21,1139.390654
-2.748677,21,1144.768209
7.151312,61,1153.9711
-3.149607,21,1159.118906
-12.66989,21,1165.913395
-10.143364,21,1172.586756
-12.479929,51,1180.397635
-0.382458,41,1187.330077
-22.396306,41,1195.661886
-10.82676,21,1203.253462
6.49551,41,1211.283201
-16.502321,21,1218.4635
-10.718136,21,1241.847914
-3.257834,21,1246.972892
-9.856699,21,1254.852232
-14.898218,21,1260.931706
-18.81073,21,1267.470523
-9.203241,41,1276.185583
-9.54955,21,1283.049763
-13.430634,41,1291.147388
-12.352237,21,1297.941875
-11.704761,21,1303.670267
-2.56497,61,1312.142899
19.962445,41,1319.343621
1.486444,21,1326.149253
-12.136011,41,1333.503004
-3.61166,21,1340.4995
-12.981768,21,1348.067425
-7.65448,21,1353.73818
-5.987992,21,1360.819237
-14.004158,21,1367.601363
-23.059761,21,1381.500285
-0.079888,21,1388.921494
-15.223685,21,1395.243356
-4.47355,21,1400.816519
-21.452296,21,1408.337841
-0.938986,21,1414.445054
-4.087186,21,1419.851593
-17.913247,21,1426.324087
-11.542653,41,1434.793709
-13.205139,21,1442.549282
-4.716474,21,1449.39687
1.125269,21,1456.290253
-16.424827,21,1463.165489
-3.333821,21,1468.019336
-7.609973,21,1474.035694
-10.003617,21,1480.523645
3.109033,25,1486.087528
-12.569423,21,1492.457963
-8.018674,21,1499.861845
2.183927,25,1505.519755
-11.004933,41,1515.980391
-1.674209,21,1523.389957
-19.170788,21,1543.920932
2.660456,21,1549.564576
-10.861045,21,1556.141505
-5.411906,21,1562.990009
-4.902797,21,1569.502033
-7.583592,21,1574.904003
-11.266612,21,1582.481169
-11.564723,21,1587.620342
-1.528394,21,1593.734971
-8.333148,21,1600.940243
-1.021571,21,1607.621809
3.308639,39,1616.796975
-6.000617,21,1624.236423
-13.659896,21,1630.021311
6.864472,21,1635.893032
16.526053,41,1645.033554
-16.025476,21,1652.801762
-7.563911,21,1658.257393
-13.274747,21,1665.889042
3.601794,21,1671.263884
-5.928944,21,1677.13975
-10.652924,33,1681.937732
-22.66654,21,1705.375283
7.301793,21,1711.174264
-8.552253,39,1719.279035
-1.603563,35,1724.77202
-10.380142,21,1732.067806
-6.858199,21,1737.977922
14.130876,41,1745.794795
-12.061222,41,1753.483648
2.717703,33,1759.258596
-3.117475,21,1764.623313
-4.203388,21,1771.840017
1.111223,21,1777.719347
8.44783,21,1782.957212
-9.707345,43,1790.056146
-7.708222,21,1796.812315
-12.66069,21,1804.326718
-18.234065,21,1810.94389
9.990861,21,1816.494129
-7.00118,21,1821.731745
-16.144157,21,1838.990116
-4.038028,21,1844.390533
-11.311191,21,1851.237065
-12.08735,41,1858.566891
3.35897,21,1864.076657
-8.086256,21,1870.630304
-0.494643,41,1878.489276
-19.945791,21,1885.850496
-6.231138,21,1891.17546
-9.657447,21,1898.506444
-5.135664,21,1903.960106
-13.820102,21,1911.46406
-15.704952,21,1918.785744
-6.802956,21,1925.884097
-0.425418,21,1931.319128
-8.410414,21,1936.82241
-4.98681,21,1943.884965
-0.41713,21,1949.47412
-5.750106,21,1954.821542
-8.640939,21,1961.434482
-14.571622,21,1969.029357
-9.362974,21,1975.542056
-0.095935,21,1981.75668
-11.37472,21,2002.787332
6.959686,41,2011.242297
-2.824437,35,2016.034564
-17.867447,21,2024.132069
-7.41866,21,2031.652983
-4.978641,21,2037.795819
-14.978104,21,2043.454572
-6.734256,21,2048.958876
-9.214232,21,2055.853961
-6.51065,21,2062.169326
-15.154797,21,2069.270951
-9.803522,21,2075.271359
-8.795653,21,2082.446686
-18.543737,21,2089.159229
7.9849,29,2094.812995
-18.849226,21,2101.489624
-20.853906,21,2108.413965
-12.044802,21,2115.413355
-8.385875,21,2121.453151
-15.342531,21,2128.311947
-5.882737,21,2133.86232
-14.580716,37,2147.494444
-10.247302,21,2154.912549
-5.089445,21,2163.166779
-7.626224,21,2168.746556
-16.257518,21,2175.942828
-17.081218,21,2182.629521
-6.896924,21,2188.550713
-12.053015,61,2197.907553
-10.612371,21,2204.929994
-2.960059,21,2211.96816
-10.79195,41,2218.772499
0.157328,41,2226.177966
-2.789018,21,2233.064888
-8.965068,41,2240.982863
-18.777045,21,2248.251996
-3.937038,21,2254.784365
-18.761727,21,2261.869342
-19.339484,75,2282.560338
-17.077462,21,2289.285829
-9.944529,41,2296.903545
-0.308602,41,2305.237525
-6.472195,23,2310.152069
-0.367877,29,2315.210371
-9.217198,21,2320.605361
-5.935664,21,2327.52724
5.716779,61,2337.263837
-11.115664,21,2343.997009
-11.75215,21,2352.544175
-15.875526,21,2359.67237
-4.484489,21,2366.530975
-5.230029,21,2371.668749
-7.150382,41,2379.397883
-4.694439,21,2386.432913
-8.099742,21,2392.386673
-14.412324,21,2398.543411
2.36689,41,2406.37861
-18.691249,21,2424.567457
-1.373439,21,2430.167041
-6.383327,21,2437.388393
-44.30713,81,2449.573917
