episode,timestep,wall_time_s,episode_reward,mean_reward_10ep,reward_std_10ep,reward_per_step,episode_length,distance_covered_m,lane_deviation_m,done_reason,sigma_noise,r_base_mean,r_lane_mean,r_lidar_mean,r_speed_mean,r_center_mean
1,21,5.0,-12.0,-12.0,0.0,-0.571429,21,0.0,1.868749,collision,0.4,0.0,0.0,0.0,-0.05238,0.24413
2,62,11.0,-3.2116,-7.6058,4.3942,-0.078332,41,2.8,0.639513,collision,0.4,0.21036,0.21036,-0.1227,-0.00732,0.41861
3,83,15.6,-5.326,-6.8459,3.7453,-0.253621,21,0.5,0.347337,lane_exit_metric,0.4,0.15469,0.15469,0.00898,-0.0381,0.47546
1,21,5.9,-12.0,-12.0,0.0,-0.571429,21,0.0,1.863843,collision,0.4,0.0,0.0,0.0,-0.05238,0.24487
2,42,11.6,3.1611,-4.4195,7.5805,0.150527,21,1.6,0.325514,collision,0.4,0.28764,0.28764,0.02571,-0.00476,0.47509
3,63,17.1,4.7818,-1.3524,7.558,0.227705,21,2.0,0.35673,collision,0.4,0.31766,0.31766,0.03429,-0.00476,0.47042
4,104,25.1,6.4978,0.6102,7.3755,0.158483,41,2.0,1.632524,collision,0.4,0.18096,0.18096,0.03243,-0.01463,0.29399
5,125,30.6,1.7651,0.8412,6.613,0.084052,21,1.9,0.391129,collision,0.4,0.28012,0.28012,0.0,-0.00476,0.46527
6,146,36.2,1.6927,0.9831,6.0451,0.080603,21,1.9,0.36828,collision,0.4,0.24697,0.24697,0.03143,-0.00476,0.46869
7,167,41.2,6.6352,1.7905,5.9359,0.315961,21,2.1,0.512363,lane_exit_metric,0.4,0.35608,0.35608,0.05429,0.0,0.4586
8,188,46.7,4.0823,2.077,5.604,0.194394,21,1.0,0.477513,collision,0.4,0.31529,0.31529,0.03429,-0.01905,0.47552
9,209,51.1,0.2024,1.8687,5.3163,0.009637,21,2.2,0.781711,lane_exit_metric,0.4,0.21149,0.21149,0.02029,0.0,0.43963
10,250,58.7,-10.1386,0.668,6.1977,-0.247282,41,1.5,0.628375,collision,0.4,0.0066,0.0066,0.0161,-0.02683,0.42024
11,351,70.7,49.3,6.798,14.876,0.488119,101,8.5,0.741133,collision,0.4,0.23903,0.23903,0.05762,-0.00408,0.39803
12,388,76.4,8.6017,7.342,14.8325,0.232478,37,2.9,1.464359,lane_exit_metric,0.4,0.18813,0.18813,0.06811,0.0,0.2999
13,409,82.0,-2.5096,6.6129,15.1169,-0.119507,21,2.1,1.0047,collision,0.4,0.15548,0.15548,0.02286,-0.00476,0.4298
14,430,87.0,4.2693,6.39,15.1334,0.203299,21,1.7,0.392264,collision,0.4,0.3226,0.3226,0.01714,-0.00476,0.4651
15,479,93.9,-0.7525,6.1383,15.2288,-0.015356,49,1.7,0.339294,collision,0.4,0.1178,0.1178,0.00065,-0.02245,0.46074
16,500,99.6,2.2716,6.1962,15.2129,0.108172,21,1.5,0.949209,collision,0.4,0.24932,0.24932,0.04286,-0.00476,0.45989
17,521,114.6,0.7101,5.6037,15.2994,0.033816,21,0.8,3.842146,collision,0.39993,0.23977,0.23977,0.03429,-0.02381,0.28307
18,602,123.8,26.5698,7.8524,16.5149,0.328022,81,8.5,0.872322,lane_exit_metric,0.39993,0.19717,0.19717,0.03331,-0.00252,0.38131
