#{"t_start": 1775072915.6929774, "env_id": null}
r,l,t
-4.835454,41,6.791715
4.068498,61,14.83596
-0.786816,41,20.721773
3.769913,61,27.495735
1.301757,58,34.392409
0.564047,81,42.061647
5.675459,61,49.210533
10.360454,61,56.767252
0.228285,69,61.756039
0.690223,77,70.037871
-3.379592,61,77.913308
8.117195,75,84.039062
3.974678,61,91.196527
2.044985,81,99.081492
-2.155112,61,106.804864
-0.413818,63,112.116823
3.427543,41,118.243865
-2.479541,57,126.82371
9.071843,120,139.011865
-1.794159,63,145.450138
1.872093,59,150.320446
0.913004,55,156.729624
-3.948243,47,162.758683
2.610446,81,169.530127
-3.021729,48,175.653252
8.642092,101,185.798748
-0.552789,61,193.260814
1.377506,83,201.956088
-3.655832,48,208.25145
-4.163411,41,216.140706
-1.302838,42,222.078659
-0.1952,61,230.723073
