#{"t_start": 1774210798.532055, "env_id": null}
r,l,t
-19.957274,39,6.73921
-59.757314,211,17.611519
-17.110049,79,21.777495
-47.926301,181,29.842295
-12.284656,141,35.365702
-25.011835,141,40.856894
-40.325985,159,46.917405
-28.157714,141,52.336795
-17.276863,181,57.787435
-26.105645,159,62.115506
-18.952932,361,78.769907
-29.778106,141,85.014361
-38.323271,115,105.332153
-0.577647,147,110.083824
-38.692919,199,116.375456
-11.418589,171,121.23639
-14.26078,141,127.516254
-32.973865,201,134.093616
-74.131736,221,143.529569
-89.032123,221,153.951234
-28.337171,161,160.620301
-13.315019,141,166.604117
-8.854599,101,171.839465
-13.128285,301,185.096173
-0.844482,43,203.553495
-9.568644,199,213.656559
-34.040267,199,220.890194
-49.353173,181,228.411185
-14.914256,117,234.006978
-12.263675,81,238.945678
-31.8045,221,250.812358
-27.175068,121,257.91631
-26.894003,119,264.730868
-32.450018,121,271.195252
-38.641326,159,278.885332
-53.28081,201,289.361673
-41.671213,199,300.317176
-25.05982,101,306.198895
